,title,properties
0,rtspclientsink,"name,parent,async-handling,message-forward,location,protocols,debug,retry,timeout,tcp-timeout,latency,rtx-time,do-rtsp-keep-alive,proxy,proxy-id,proxy-pw,rtp-blocksize,user-id,user-pw,port-range,udp-buffer-size,udp-reconnect,multicast-iface,sdes,tls-validation-flags,tls-database,tls-interaction,ntp-time-source,user-agent,profiles"
1,nvinfer,"name,parent,qos,unique-id,process-mode,config-file-path,infer-on-gie-id"
2,nvdsosd,"name,parent,qos,display-clock,display-text,clock-font,clock-font-size,x-clock-offset,y-clock-offset,clock-color,process-mode,hw-blend-color-attr"
3,nvdewarper,"name,parent,qos,gpu-id,source-id,num-output-buffers,config-file,dewarper-lib-version,num-batch-buffers,silent"
4,nvofvisual,"name,parent,qos,gpu-id"
5,nvstreammux,"name,parent,batch-size,batched-push-timeout"
6,nvstreamdemux,"name,parent"
7,nvsegvisual,"name,parent,qos,unique-id,gpu-id,batch-size,width,height"
8,nvinferserver,"name,parent,qos,unique-id,process-mode,config-file-path,batch-size,infer-on-gie-id"
9,nvmsgbroker,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,conn-str,config,proto-lib,topic,comp-id"
10,nvof,"name,parent,qos,gpu-id,dump-of-meta,preset-level,grid-size,pool-size,nvof-lib-version"
11,dsexample,"name,parent,qos,unique-id,processing-width,processing-height,full-frame,blur-objects,gpu-id"
12,nvdsanalytics,"name,parent,qos,unique-id,enable,config-file"
13,nvtracker,"name,parent,qos,tracker-width,tracker-height,gpu-id,ll-config-file,ll-lib-file,enable-batch-process,enable-past-frame,tracking-surface-type,display-tracking-id"
14,nvvideoconvert,"name,parent,qos,silent,gpu-id,output-buffers,interpolation-method,src-crop"
15,nvmultistreamtiler,"name,parent,qos,columns,rows,width,height,gpu-id,show-source,nvbuf-memory-type,custom-tile-config"
16,nvmsgconv,"name,parent,qos,config,msg2p-lib,payload-type,comp-id"
17,nvdrmvideosink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,show-preroll-frame,conn-id,plane-id,set-mode"
18,nvv4l2decoder,"name,parent,device,device-name"
19,nvv4l2h264enc,"name,parent,qos,device,device-name"
20,nvv4l2h265enc,"name,parent,qos,device,device-name"
21,nvv4l2vp8enc,"name,parent,qos,device,device-name"
22,nvv4l2vp9enc,"name,parent,qos,device,device-name"
23,nv3dsink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,show-preroll-frame,window-x,window-y,window-width,window-height,bufapi-version"
24,nvv4l2camerasrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,device,cap-buffers,bufapi-version"
25,nvegltransform,"name,parent,qos,bufapi-version"
26,omxmpeg4videodec,"name,parent,use-omxdec-res,full-frame,disable-dpb,skip-frames,output-buffers,enable-error-check,enable-low-outbuffer,disable-dvfs"
27,omxh264dec,"name,parent,use-omxdec-res,full-frame,disable-dpb,skip-frames,output-buffers,enable-error-check,enable-low-outbuffer,disable-dvfs,enable-frame-type-reporting"
28,omxh265dec,"name,parent,use-omxdec-res,full-frame,disable-dpb,skip-frames,output-buffers,enable-error-check,enable-low-outbuffer,disable-dvfs,enable-frame-type-reporting"
29,omxvp8dec,"name,parent,use-omxdec-res,full-frame,disable-dpb,skip-frames,output-buffers,enable-error-check,enable-low-outbuffer,disable-dvfs"
30,omxvp9dec,"name,parent,use-omxdec-res,full-frame,disable-dpb,skip-frames,output-buffers,enable-error-check,enable-low-outbuffer,disable-dvfs"
31,omxmpeg2videodec,"name,parent,use-omxdec-res,full-frame,disable-dpb,skip-frames,output-buffers,enable-error-check,enable-low-outbuffer,disable-dvfs"
32,omxwmvdec,"name,parent,use-omxdec-res,full-frame,disable-dpb,skip-frames,output-buffers,enable-error-check,enable-low-outbuffer,disable-dvfs"
33,omxh264enc,"name,parent,qos,control-rate,bitrate,peak-bitrate"
34,omxh265enc,"name,parent,qos,control-rate,bitrate,peak-bitrate"
35,omxvp8enc,"name,parent,qos,control-rate,bitrate,peak-bitrate"
36,omxvp9enc,"name,parent,qos,control-rate,bitrate,peak-bitrate"
37,nvoverlaysink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,show-preroll-frame,overlay,overlay-depth,overlay-x,overlay-y,overlay-w,overlay-h,overlay-profile,display-id"
38,nvjpegenc,"name,parent,qos,quality,idct-method,Enableperf"
39,nvjpegdec,"name,parent,idct-method,max-errors,Enableperf,DeepStream"
40,videocuda,"name,parent,qos"
41,nveglglessink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,show-preroll-frame,create-window,force-aspect-ratio,display,window-x,window-y,window-width,window-height,rows,columns,profile,winsys,bufapi-version"
42,nvcompositor,"name,parent,latency,start-time-selection,start-time,background"
43,nvvideosink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,show-preroll-frame,display,stream,fifo,fifo-size,outcaps"
44,nvtee,"name,parent,mode"
45,nvarguscamerasrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,silent,timeout,wbmode,saturation,sensor-id,sensor-mode,total-sensor-modes,exposuretimerange"
46,nveglstreamsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,display,eglstream"
47,nvvidconv,"name,parent,qos,silent,flip-method,output-buffers,interpolation-method,left,right,top,bottom,bl-output"
48,nvivafilter,"name,parent,qos,silent,pre-process,post-process,cuda-process,customer-lib-name"
49,tsparse,"name,parent,parse-private-sections,set-timestamps,smoothing-latency,pcr-pid"
50,tsdemux,"name,parent,parse-private-sections,program-number,emit-stats"
51,shmsrc,"name,parent,blocksize,num-buffers,typefind,do-timestamp,socket-path,is-live,shm-area-name"
52,shmsink,"name,parent,sync,max-lateness,qos,async,ts-offset,enable-last-sample,last-sample,blocksize,render-delay,throttle-time,max-bitrate,socket-path,perms,shm-size,wait-for-connection,buffer-time"
53,pngdec,"name,parent"
54,pngenc,"name,parent,qos,snapshot,compression-level"
55,id3v2mux,"name,parent"
56,apev2mux,"name,parent"
57,circle,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,angle,height,spread-angle"
58,diffuse,"name,parent,qos,off-edge-pixels,scale"
59,kaleidoscope,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,angle,angle2,sides"
60,marble,"name,parent,qos,off-edge-pixels,x-scale,turbulence,y-scale,amount"
61,pinch,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,intensity"
62,rotate,"name,parent,qos,off-edge-pixels,angle"
63,sphere,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,refraction"
64,twirl,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,angle"
65,waterripple,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,amplitude,phase,wavelength"
66,stretch,"name,parent,qos,off-edge-pixels,x-center,y-center,radius,intensity"
