,title,properties
0,videoscale,"['name', 'parent', 'qos', 'method', 'add-borders', 'sharpness', 'sharpen', 'dither', 'envelope', 'gamma-decode', 'n-threads']"
1,video/x-ms-asf,
2,audio/x-musepack,
3,audio/x-au,
4,video/x-msvideo,
5,audio/qcelp,
6,video/x-cdxa,
7,video/x-vcd,
8,audio/x-imelody,
9,audio/midi,
10,audio/riff-midi,
11,audio/mobile-xmf,
12,video/x-fli,
13,application/x-id3v2,
14,application/x-id3v1,
15,application/x-apetag,
16,audio/x-ttafile,
17,audio/x-mod,
18,audio/mpeg,
19,audio/x-ac3,
20,audio/x-dts,
21,audio/x-gsm,
22,video/mpeg-sys,
23,video/mpegts,
24,application/ogg,
25,video/mpeg-elementary,
26,video/mpeg4,
27,video/x-h263,
28,video/x-h264,
29,video/x-h265,
30,video/x-nuv,
31,audio/x-m4a,
32,application/x-3gp,
33,video/quicktime,
34,image/x-quicktime,
35,image/jp2,
36,image/x-jpc,
37,video/mj2,
38,text/html,
39,application/vnd.rn-realmedia,
40,application/x-pn-realaudio,
41,application/x-shockwave-flash,
42,application/dash+xml,
43,application/vnd.ms-sstr+xml,
44,video/x-flv,
45,text/plain,
46,text/utf-16,
47,text/utf-32,
48,text/uri-list,
49,application/itc,
50,application/x-hls,
51,application/sdp,
52,application/smil,
53,application/ttml+xml,
54,application/xml,
55,audio/x-wav,
56,audio/x-aiff,
57,audio/x-svx,
58,audio/x-paris,
59,audio/x-nist,
60,audio/x-voc,
61,audio/x-sds,
62,audio/x-ircam,
63,audio/x-w64,
64,audio/x-rf64,
65,audio/x-shorten,
66,application/x-ape,
67,image/jpeg,
68,image/gif,
69,image/png,
70,image/bmp,
71,image/tiff,
72,image/webp,
73,image/x-exr,
74,image/x-portable-pixmap,
75,video/x-matroska,
76,application/mxf,
77,video/x-mve,
78,video/x-dv,
79,audio/x-amr-nb-sh,
80,audio/x-amr-wb-sh,
81,audio/iLBC-sh,
82,audio/x-sbc,
83,audio/x-sid,
84,image/x-xcf,
85,video/x-mng,
86,image/x-jng,
87,image/x-xpixmap,
88,image/x-sun-raster,
89,application/x-bzip,
90,application/x-gzip,
91,application/zip,
92,application/x-compress,
93,subtitle/x-kate,
94,application/x-subtitle-vtt,
95,audio/x-flac,
96,audio/x-vorbis,
97,video/x-theora,
98,application/x-ogm-video,
99,application/x-ogm-audio,
100,application/x-ogm-text,
101,audio/x-speex,
102,audio/x-celt,
103,application/x-ogg-skeleton,
104,text/x-cmml,
105,application/x-executable,
106,audio/aac,
107,audio/x-spc,
108,audio/x-wavpack,
109,audio/x-wavpack-correction,
110,audio/x-caf,
111,application/postscript,
112,image/svg+xml,
113,application/x-rar,
114,application/x-tar,
115,application/x-ar,
116,application/x-ms-dos-executable,
117,video/x-dirac,
118,multipart/x-mixed-replace,
119,application/x-mmsh,
120,video/vivo,
121,audio/x-nsf,
122,audio/x-gym,
123,audio/x-ay,
124,audio/x-gbs,
125,audio/x-vgm,
126,audio/x-sap,
127,video/x-ivf,
128,audio/x-kss,
129,application/pdf,
130,application/msword,
